Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2024,53332.95,53404.35,52910.8,53214,440870986,10081.5
27-MAR-2024,53242.5,53366.1,52975.25,53041.45,420293608,11722.1
26-MAR-2024,52100.85,53089.6,52099.1,53036.55,305383669,9255.91
22-MAR-2024,51719.85,52280.8,51647.65,52214.2,335608739,9663.23
21-MAR-2024,51105.05,51847.55,51086.4,51813.25,284277680,9676.95
20-MAR-2024,50703.05,50887.45,49932.4,50548.45,277283012,8243.65
19-MAR-2024,51114.4,51153.55,50159.85,50499.2,273834388,8627.17
18-MAR-2024,51038.55,51253.2,50486.55,51049.3,331528358,9977.71
15-MAR-2024,51474,51794.3,50254.85,51102.05,539734219,16472.97
14-MAR-2024,49915.5,51598.75,49548,51458.9,610374882,12774.48
13-MAR-2024,52712.45,52875.05,49748.4,50223.9,522986094,13582.67
12-MAR-2024,53491.15,53537.95,52347.75,52667.9,277855735,9717.78
11-MAR-2024,53696.95,53794.35,53292.7,53422.55,257325271,9913
07-MAR-2024,53356.85,53575.3,53305.05,53402.95,229562088,6700.87
06-MAR-2024,53676.95,53715.3,52603.9,53288.85,413429293,11284.49
05-MAR-2024,53571.35,53661.7,53273.65,53547.2,362432066,10212.16
04-MAR-2024,53414.5,53786.4,53216.15,53610.15,454032816,14058.6
01-MAR-2024,52698.1,52894.65,52612.75,52850.15,291906223,9205.59
29-FEB-2024,52292.6,52635.45,51615,52443,867659078,23113.76
28-FEB-2024,53236,53265.8,52080.2,52340.75,311556667,8777.76
27-FEB-2024,53170.75,53379.95,52851.45,53057.95,262792411,8517.42
26-FEB-2024,53257.95,53402.5,52818.1,53117.75,308758046,10732.05
23-FEB-2024,53279.5,53541.4,53159.2,53269.1,258080746,7106.04
22-FEB-2024,53023.15,53150.4,52292.25,53049.25,357921704,8231.12
21-FEB-2024,53542.65,53633.45,52643.25,52790.5,369039352,9943.08
20-FEB-2024,53480.95,53607.75,53165.9,53306.45,297035068,7946.13
19-FEB-2024,53580,53714.5,53288.6,53337.8,432204601,10391.39
16-FEB-2024,52923.65,53311.2,52655.1,53178.7,370069065,10912.58
15-FEB-2024,52345.25,52729.85,52291.45,52604.1,560979486,12030.11
14-FEB-2024,50977.7,52119.45,50676.7,51922.05,606334993,12179.55
13-FEB-2024,51379.3,51647.1,50538.75,51511,866892797,16201.08
12-FEB-2024,53071.1,53126.4,51163.6,51353.7,733377108,15455.62
09-FEB-2024,53882.75,53898.95,52094.65,52915.35,557505119,14888.39
08-FEB-2024,54106.6,54240.85,53676.5,53841.25,365693309,11440.42
07-FEB-2024,53713.9,54061.85,53313.95,53720.85,359054736,9424.33
06-FEB-2024,53315.4,53488.35,52880.35,53423.75,495560753,12045.95
05-FEB-2024,52882.65,53541.4,52771.05,53040.55,934181590,18081.39
02-FEB-2024,52485.05,52990.05,52448.8,52676.55,780582317,14650.66
01-FEB-2024,52965.6,52990.3,51862.15,52171.75,530499897,12824.86
31-JAN-2024,51850.4,52722.4,51814.7,52673.45,415079847,11680.74
30-JAN-2024,52207.2,52342.5,51699.95,51772.45,512049134,11312.62
29-JAN-2024,51327.5,52020.65,51145.3,51964.25,541248549,13312.44
25-JAN-2024,51358.75,51396.45,50879.05,51111.7,477148993,12266.76
24-JAN-2024,50196.15,51253.1,49382.85,51166.75,651046381,15820.79
23-JAN-2024,52171.35,52276.3,49721.85,50061.95,786500272,18859.6
20-JAN-2024,51845.15,52028.35,51566.1,51631.35,524698393,9224.35
19-JAN-2024,50742.2,51495.2,50576.25,51457.8,737901402,15414.22
18-JAN-2024,50295.25,50417.75,48890.85,50279.15,641303305,14640.64
17-JAN-2024,50263.1,50775.95,49911.75,50334.95,691504219,14829.46
16-JAN-2024,51074.25,51127.6,50287.75,50755.2,739818524,15241.6
15-JAN-2024,50695.4,50957.95,50426.05,50811.35,679987850,14205.23
12-JAN-2024,50299,50381.5,50056.2,50320.05,367907839,10173
11-JAN-2024,50237,50391.15,49878.65,50057.55,348319756,14793.52
10-JAN-2024,50340.5,50348,49706,50209,297523299,8559.86
09-JAN-2024,50525.3,50627.55,50031.15,50145.7,185504098,7473.23
08-JAN-2024,50550.35,50586.65,50124,50164.9,203559228,5828.88
