Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-NOV-2025,44841.65,44871.2,44545.8,44637.8,177502487,6970.45
27-NOV-2025,45096.55,45141,44693.8,44796.45,147755053,9106.79
26-NOV-2025,44503.95,44937.5,44418.1,44914.35,142084295,8835.03
25-NOV-2025,44353.35,44477.85,44192.9,44380.1,98128806,5642.3
24-NOV-2025,44732.1,44784.1,44191.05,44310.7,169838853,7536.35
21-NOV-2025,45192.85,45196.2,44664.75,44708.4,107848011,5800.76
20-NOV-2025,45442.45,45487.55,45256.85,45308.6,156704654,8214.22
19-NOV-2025,45309.55,45358.4,45137.55,45273.75,98898130,6559.29
18-NOV-2025,45903.9,45904.95,45230,45283.35,101920511,6393.73
17-NOV-2025,45622.45,45903.9,45573.8,45841.2,133329775,9303.48
14-NOV-2025,45214.2,45584.1,45201.35,45437.4,180599915,9498.16
13-NOV-2025,45621.9,45729.5,45218.4,45270.3,140542709,7713.49
12-NOV-2025,45374.65,45626.35,45333.4,45563.9,195077950,10412.44
11-NOV-2025,45277.7,45339.05,45029.05,45186.8,180936218,10400.68
10-NOV-2025,45163.7,45330.1,45027.2,45224.5,148022910,11313.17
07-NOV-2025,44890.55,45145.75,44405.55,45004.65,176104555,11433.61
06-NOV-2025,45823.35,45884.9,45065.45,45132.7,218983718,9557.32
04-NOV-2025,46240.4,46248.65,45609.25,45670.45,109063067,7182.55
03-NOV-2025,46038.55,46324.45,46002.4,46196.95,132129741,8157.65
31-OCT-2025,46239.2,46341.5,45890.35,45939.45,169694897,11460.72
30-OCT-2025,46173.75,46222.7,46007.15,46175.4,163852353,8278.51
29-OCT-2025,45929.55,46144.1,45716.15,46086.4,158580932,8987.62
28-OCT-2025,46120.55,46173.8,45849.7,45970.65,121507278,8292.64
27-OCT-2025,45678.95,46074.5,45572.55,46063.15,157109047,10386.7
24-OCT-2025,45637.95,45722.3,45438.95,45572.85,119522882,7131.88
