Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,28414.9,28492.45,28027.9,28166.9,198833283,22374.29
27-MAR-2025,28082.35,28353.25,28063.2,28317.35,576455830,26364.15
26-MAR-2025,28353.05,28481.45,28082.2,28149.25,228069505,15507.38
25-MAR-2025,28730.35,28754.7,28178.45,28282.25,194406560,16188.77
24-MAR-2025,28374.4,28644.4,28205.85,28540.55,162163159,14806.97
21-MAR-2025,27946.7,28301.85,27843.8,28205.75,281315128,22015.11
20-MAR-2025,27966.2,28069.35,27764.15,28016.5,181791336,15036.52
19-MAR-2025,27551.85,27812.15,27326.65,27761.7,180110403,14519.44
18-MAR-2025,26967.15,27537.4,26888.2,27495.85,184870607,13388.6
17-MAR-2025,26570.75,26851.9,26570.75,26829.25,133093370,10775.4
13-MAR-2025,26914.25,26930.65,26572.1,26613.15,179198336,12440.3
12-MAR-2025,26986.8,27073.25,26436.65,26767.8,192465711,16202.53
11-MAR-2025,26498.2,26989.15,26384.15,26944.3,270922513,17610.76
10-MAR-2025,27193.6,27339.6,26718.3,26775,164193576,11822.75
07-MAR-2025,27389.15,27463.55,27113.35,27181.95,145350934,10757.92
06-MAR-2025,27634.3,27664.45,27301.5,27405.7,161289755,14198.96
05-MAR-2025,26738.6,27445.85,26738.1,27409.15,165781265,19518.29
04-MAR-2025,26577.15,26896.35,26410.6,26760.2,164062317,13319.19
03-MAR-2025,26729.75,27008.55,26442.35,26870.35,161987127,14572.58
28-FEB-2025,27298.3,27309.3,26506.6,26676.7,304851028,26129.02
27-FEB-2025,27800.15,27887.75,27411.45,27524,144226601,11353.4
25-FEB-2025,27806.3,28027.3,27698.95,27767.2,155713989,11199.28
24-FEB-2025,27883.7,27959.4,27766.1,27842.9,139790669,12153.13
21-FEB-2025,28656.95,28795,28134,28216.4,138848040,13306.57
20-FEB-2025,28358.2,28717.9,28278.5,28695.35,121494344,11547.63
19-FEB-2025,28047.35,28572.5,27950.7,28451.2,161908897,12672.37
18-FEB-2025,28267.85,28346.6,27945.8,28238.85,151363957,10635.72
17-FEB-2025,28099.3,28256.3,27731.3,28202.55,167005444,11906.48
14-FEB-2025,28988.85,29029.1,28060.85,28280.85,147658906,10979.15
13-FEB-2025,28893.25,29191.95,28779.45,28867.55,133350091,11330.99
12-FEB-2025,28882.75,29040.15,28337.15,28825.9,226423384,16209.21
11-FEB-2025,29637.15,29655.3,28753.95,28908.7,182512134,12939.52
10-FEB-2025,30195.2,30249.7,29522.2,29608.65,132539202,10636.85
07-FEB-2025,29930.75,30223.5,29794.65,30161.3,156441431,14949.72
06-FEB-2025,30409.9,30413.55,29807.4,29844.85,138531024,14701.59
05-FEB-2025,30117.4,30389,30062.75,30229.7,176616416,14204.01
04-FEB-2025,29952.2,30147.2,29726.75,30050.8,257181270,18258.71
03-FEB-2025,29411.7,29677.2,29052.85,29657.7,256342931,16674.19
01-FEB-2025,29609.65,29789.5,29191.3,29621,246238710,14155.76
